Title,Release Year,Genre,Rating,Summary
Pong,1972,"Family, Sport",7.6,Two players play a video version of table tennis. The first to score 11 points wins.
Analogic,1972,"Family, Sci-Fi",3.3,Add a Plot
Baseball,1972,Sport,0,Add a Plot
Basketball,1972,Sport,5.7,Add a Plot
Cat and Mouse,1972,Family,3.3,Add a Plot
Dogfight,1972,Action,2.5,Add a Plot
Football,1972,Sport,3.6,Add a Plot
Fun Zoo,1972,Family,0,Add a Plot
Handball,1972,Sport,4.1,Add a Plot
Haunted House,1972,"Family, Horror, Mystery",4.5,Add a Plot
Hockey,1972,Sport,0,Add a Plot
Invasion,1972,Fantasy,0,Add a Plot
Percepts,1972,Family,0,Add a Plot
Prehistoric Safari,1972,"Action, Fantasy",0,Add a Plot
Roulette,1972,NA,0,Add a Plot
Shooting Gallery,1972,Action,0,Add a Plot
Shootout,1972,"Action, Western",0,Add a Plot
Simon Says,1972,Family,5,Add a Plot
Ski,1972,Sport,0,Add a Plot
States,1972,"Family, Game-Show",0,Add a Plot
Submarine,1972,Action,0,Add a Plot
Table Tennis,1972,Sport,4.7,Add a Plot
Tennis,1972,Sport,5.1,Add a Plot
Volleyball,1972,Sport,4.2,Add a Plot
Wipeout,1972,Action,0,Add a Plot
Soccer,1972,Sport,3.7,Add a Plot
Star Trek,1972,"Action, Sci-Fi",5.8,"A text-based game describing the events on the USS Enterprise. You make the choices during a battle with an enemy spaceship, such as moving the Enterprise or firing phasers."
Alto Trek,1972,"Action, Sci-Fi",7.7,Add a Plot
Handicap Pong,1972,Sport,0,Add a Plot
Bagels,1972,Family,0,A mastermind game where the player must guess the computer code.
Number: A Number Guessing Game,1972,Family,0,The computer has a number in mind and the player must try to guess it. After each guess the computer says whether the player is over or under or has guessed it.
Kingdom,1972,NA,0,Kingdom is an enhanced conversion of the game Hamurabi (1968). The player is the ruler of a medieval kingdom and must try to lead it to prosperity.
Brain Wave,1973,Family,0,Add a Plot
Interplanetary Voyage,1973,Sci-Fi,0,Add a Plot
W.I.N.,1973,Family,0,Add a Plot
Astro Race,1973,"Action, Sci-Fi",7.6,Add a Plot
Champion Ping Pong,1973,Sport,0,Add a Plot
Computer Space Ball,1973,"Sci-Fi, Sport",0,Add a Plot
Crazy Foot,1973,Sport,0,Add a Plot
Davis Cup,1973,Sport,0,Add a Plot
Elepong,1973,Sport,0,Add a Plot
Elimination!,1973,Sport,0,Add a Plot
Wampus,1973,"Adventure, Family, Fantasy",7.3,"The player moves through a series of connected caves, arranged as the vertices of a dodecahedron, as they hunt a monster named the Wumpus."
Lemonade Stand,1973,Family,0,Add a Plot
Winner,1973,Sport,0,Add a Plot
Empire,1973,"Action, Sci-Fi",0,Add a Plot
Gotcha,1973,Family,5,"In Gotcha two players travel through a maze. Player 1 is the Pursued, represented by a plus sign, and player 2 is the Pursuer, represented by a square. The Pursuer's goal is to catch the                 "
Gyro-Pong,1973,Sport,0,Add a Plot
Hockey,1973,Sport,0,Add a Plot
Hockey TV,1973,Sport,0,Add a Plot
Laser Clay Shooting System,1973,Action,0,Add a Plot
Leader,1973,NA,0,Add a Plot
Lunar Lander,1973,"Action, Sci-Fi",4.9,Add a Plot
Missile Radar,1973,Action,0,Add a Plot
Olympic TV Football,1973,Sport,0,Add a Plot
Olympic TV Hockey,1973,Sport,0,Add a Plot
Olympic Tennis,1973,Sport,0,Add a Plot
Paddle Battle,1973,Sport,0,Add a Plot
Paddle-Ball,1973,Sport,0,Add a Plot
Pong Doubles,1973,Sport,0,Add a Plot
Pong in-A-Barrel,1973,Sport,0,Add a Plot
Pong-Tron,1973,Sport,0,Add a Plot
Pong-Tron II,1973,Sport,0,Add a Plot
Pro Hockey,1973,Sport,0,Add a Plot
Pro Tennis,1973,Sport,0,Add a Plot
Rally,1973,Sport,0,Add a Plot
Soccer,1973,Sport,3.5,Add a Plot
Space Race,1973,"Action, Sci-Fi",6.9,Add a Plot
Sport Center,1973,Sport,0,Add a Plot
Super-Soccer,1973,Sport,0,Add a Plot
TV Ping Pong,1973,Sport,0,Add a Plot
TV Pingame,1973,Family,0,Add a Plot
TV Table Tennis,1973,Sport,0,Add a Plot
TV Tennis,1973,Sport,0,Add a Plot
Table Tennis,1973,Sport,0,Add a Plot
Tennis Tourney,1973,Sport,0,Add a Plot
Trek73,1973,Sci-Fi,3.7,Add a Plot
Volley,1973,Sport,0,Add a Plot
Watergate Caper,1973,"Action, Thriller",0,Add a Plot
Wimbledon,1973,Sport,0,Add a Plot
Winner IV,1973,Sport,0,Add a Plot
Wipe Out,1973,NA,0,Add a Plot
TV Hockey,1973,Sport,0,Add a Plot
TV Ping Pong,1973,Sport,0,Add a Plot
Matches,1973,Family,0,The computer challenges the player in a simple two-player strategy game.
Nim,1973,Family,0,"The player decides upfront how many piles of sticks are in play and how many sticks are in each pile. After that, the player and computer take turns taking one or more sticks from a pile. Whoever takes the last stick is the winner."
"Button, Button, Who's Got the Button?",1973,Family,0,A guessing game in which seven people sit in a circle with the player in the middle. The player must find out who has the button.
Killer Shark,1974,Action,0,Add a Plot
Fascination,1974,Action,0,Add a Plot
Tank,1974,Action,5.5,Two tank commanders battle each other and avoid mines in a maze.
Star Trader,1974,Sci-Fi,0,"Star Trader is a 1974 video game and an early example of the space trading genre. The game involves a single player moving from star to star on a map of the galaxy, buying and selling                 "
Asteroid,1974,"Action, Sci-Fi",5,Add a Plot
Astro Hockey,1974,Sport,0,Add a Plot
Attack U.F.O.,1974,Sci-Fi,0,Add a Plot
Ball Park,1974,Sport,0,Add a Plot
Baseball,1974,Sport,0,Add a Plot
Basketball,1974,Sport,0,Add a Plot
Challenge,1974,Sport,0,Add a Plot
Countdown - The Game of Elimination,1974,Sport,0,Add a Plot
Coupe du Monde,1974,Sport,0,Add a Plot
Electro-Fun 401,1974,NA,0,Add a Plot
Quadra Pong,1974,Sport,0,Add a Plot
Flim-Flam,1974,Sport,0,Add a Plot
Formula K,1974,Sport,0,Add a Plot
Goal Kick,1974,Sport,0,Add a Plot
Gran Trak 10,1974,Action,4.7,Add a Plot
Hesitation,1974,Sport,0,Add a Plot
Maze War,1974,Action,8.1,"Players wander around a maze shooting at other players or computer-controlled robots. Players score points for kills. If they are shot, they are deducted points and transported to a random location in the maze."
One on One,1974,Sport,0,Add a Plot
Pace Car Pro,1974,Sport,0,Add a Plot
Pin Pong,1974,Family,0,Add a Plot
Playtime,1974,Sport,0,Add a Plot
Qwak!,1974,Action,0,Add a Plot
