Title,Release Year,Genre,Rating,Summary
Parky and the Yellow Submarine,1985,Action,0,Add a Plot
Tomahawk,1985,War,0,Add a Plot
Norway 1985,1985,War,0,"The game simulates NATO forces in Norway during the summer of 1985. The player may choose to play either the NATO or Russian forces, and can play in turns against another human component or against the computer."
Bounder,1985,Action,0,Guide a bouncing tennis-ball through several levels.
Wizard of Oz,1985,"Adventure, Fantasy",7,"Based on the same book as the classic film, this text adventure follows a little girl and her dog who end up in a fantastical world and join a talking scarecrow, robot and cowardly lion to stop a wicked witch and find a way home."
Treasure Island,1985,Adventure,0,Text adventure based on the classic novel about a young boy who goes looking for treasure on a faraway island with his guardians only for their ship to be hijacked by pirates that have infiltrated the crew.
The Mist,1985,"Adventure, Horror",7,A small town in the forest gets engulfed in strange supernatural mist that hides alien-looking monsters. The player and several other people become trapped in the local supermarket by this mist. Find a way out in this text adventure.
Rambo: First Blood Part II,1985,Adventure,7.4,"Text adventure based on the movie of the same name. As commando John Rambo, rescue the American p.ow.s in a Vietnamese prison camp."
Perry Mason: The Case of the Mandarin Murder,1985,"Adventure, Crime, Mystery",0,"Text adventure based on the stories about fictional criminal defense lawyer, Perry Mason. Mason investigates the murder of a rich man to find the real culprit and get his client, the dead man's wife and main suspect, out of jail.mm."
Panzer Grenadier,1985,War,0,Turn-based strategy game set in the Second World War.
Master of Magic,1985,"Adventure, Fantasy",0,Add a Plot
Minder,1985,NA,0,Add a Plot
Super Pipeline II,1985,"Action, Adventure",6.7,As Foreman Fred you must defend the pipework supply against the attacks from the manic power drills as they cause leaks and protect your workmen from gnawing caterpillars and ferocious hammers.
Kid Icarus,1986,"Action, Adventure, Family",6.9,"Pit goes on a quest to find three sacred treasures, which he must equip to rescue the Grecian fantasy world Angel Land and its ruler, the goddess Palutena."
The Legend of Zelda,1986,"Action, Adventure, Fantasy",8.6,"Follows the story of a young boy named Link that must save a kidnapped princess from the evil, demonic Ganon, who put a spell on his lair which can only be removed with the 3 pieces of the Triforce, a golden triangle with mystical powers."
Volley Ball,1986,Sport,3.9,Add a Plot
Arkanoid,1986,"Action, Family, Sci-Fi",7.6,"Controlling the spaceship 'Vaus', the player must prevent a ball from leaving the playing field by bouncing it against bricks. Once all bricks have been destroyed, the player may progress to the next stage."
Athena,1986,"Action, Adventure, Fantasy",5.8,Add a Plot
BreakThru,1986,Action,6.2,"Accomplish your mission with your highly sophisticated assault vehicle to BREAK THRU, each of the five enemy strongholds. Travel through the mountains, bridges, and cities to reach the airfield."
Castlevania,1986,"Action, Adventure, Fantasy",7.8,"In the late 15th century, vampire slayer Simon Belmont must destroy Count Dracula by infiltrating his sanctuary, Castlevania."
Deadly Towers,1986,"Action, Adventure, Fantasy",3.9,Add a Plot
Family Fun Fitness: AthleticWorld,1986,"Family, Sport",0,Add a Plot
World Class Track Meet,1986,"Family, Sport",5.2,Complete against a athletic opponent in this running game.
Ikari Warriors,1986,"Action, Adventure",6.1,Play as Ralf Jones and Clark Steel and battle through hordes of enemies to reach the jungle village of Ikari.
Kid Niki: Radical Ninja,1986,"Action, Adventure, Family",5.9,"Kid Niki has to save his girlfriend, Princess Margo from the evil Stone Wizard."
Tag Team Match: M.U.S.C.L.E,1986,NA,3.6,Add a Plot
Metroid,1986,"Action, Adventure, Mystery",7.9,"Samus Aran, a bounty hunter, is send to destroy a band of space pirates who stolen a Galactic Federation-owned space research vessel with samples of Metroid, a dangerous parasitic lifeform."
Ninja Kid,1986,NA,4.1,Add a Plot
Pro Wrestling,1986,Sport,5.7,"Pro Wrestling is a generic wrestling game (i.e. it has no ""pro"" license such as the WWF, the NWA or AWA), featuring a roster of 6 wrestlers, including Starman, The Amazon, and Kin Corn Karn                "
Slalom,1986,Sport,5,Ski down numerous slopes as quickly as possible without crashing.
Sqoon,1986,NA,5.6,Add a Plot
Star Voyager,1986,NA,6.2,Add a Plot
Trojan,1986,"Action, Adventure, Sci-Fi",5.8,Add a Plot
Super Mario Bros.: The Lost Levels,1986,"Action, Adventure, Family",7.4,A Japan-only sequel to Super Mario Bros. (1985) where Mario and Luigi must once again save Princess Toadstool and the Mushroom Kingdom from Bowser's clutches.
Zanac,1986,NA,7.6,Add a Plot
King's Quest III: To Heir Is Human,1986,"Adventure, Fantasy",7.3,Kidnapped when he was quite young Gwydion has been slave of an evil wizard all his life. The wizard kills his slaves on their eighteenth birthday and Gwydion is just about turn that very                 
Fist of the North Star,1986,NA,8,Add a Plot
Haisukûru! Kimengumi,1986,"Action, Adventure",5.7,Add a Plot
Dragon Warrior,1986,"Action, Adventure, Fantasy",7.6,A knight becomes entrusted with the impossible mission to rescue the abducted Princess Gwaelin and vanquish the Dragonlord.
Rambo: First Blood Part II,1986,"Action, Adventure",6.4,Action game based on the movie of the same name. Commando John Rambo must free American P.O.W.s from a Vietnamese prison camp while taking out waves of guards.
Donkey Kong,1986,Action,7.6,Add a Plot
Bubble Bobble,1986,"Adventure, Family, Fantasy",8,"Bub & Bob, twin dinosaur brothers, begin a fantastic journey to recover the food stolen from their people by the evil Baron Von Bubba."
Rampage,1986,"Action, Fantasy",7.4,"In Rampage three people can play at once, each player being a different giant monster that terrorizes cities throughout North America."
OutRun,1986,Sport,7.1,"You must race your Ferrari through various unique locations in order to reach checkpoints. While playing, the player can choose which route to take and has a choice between one of three different music themes."
Joust 2: Survival of the Fittest,1986,"Action, Fantasy",6.6,Add a Plot
Renegade,1986,"Action, Crime",7.4,Renegade is a side-scrolling beat-'em-up developed by Technos Japan and distributed by Taito for the arcades in 1986. The player controls a street brawler who must face four different gangs                
Rolling Thunder,1986,"Action, Adventure, Crime",6.9,"Rolling Thunder is a run-and-gun shooter action game produced by Namco, The player takes control of a secret agent who must rescue his female partner from a terrorist organization."
Gauntlet II,1986,"Action, Adventure, Fantasy",7.2,"The Warrior, Valkyrie, Elf, and Wizard enter a dungeon with several hundred levels. Monster generators churn out wave after wave of enemies, destroy them to clear the level, and then find                 "
Fantasy Zone,1986,"Action, Fantasy, Sci-Fi",7.4,Opa-Opa is sent to fight the invading aliens and to confront his father in this intense side in a quest to save Fantasy Zone in this side scrolling shooting game.
Ghostbusters,1986,"Action, Fantasy, Horror",6,Play as the Ghostbusters going around New York fighting and catching ghosts.
Top Gunner,1986,"Action, Adventure",7.2,A commando team (four soldiers on a jeep) are sent in to rescue POWs.
Where in the USA Is Carmen Sandiego?,1986,"Crime, Family, Mystery",7.5,America needs your help stopping Carmen and the agents of V.I.L.E.
Cauldron II: The Pumpkin Strikes Back,1986,NA,0,"As a soldier in the army of the pumpkin king (a bouncing pumpkin), you have entered the witch's castle to take back the treasures she stole from your king in the game ""Cauldron""."
Lord of the Rings: Game One,1986,"Adventure, Fantasy",5.8,Add a Plot
Winter Games,1986,"Action, Sport",6.2,Add a Plot
Back to Skool,1986,NA,0,"After nabbing his school report in the prequel game Skool Daze, our hero, Eric has to return the report he forged over the holiday. There's so much mischief that Eric can get up to. This time there are also girls at his school."
Spellbound,1986,NA,0,Add a Plot
Silpheed,1986,"Action, Sci-Fi",7.2,"A group of terrorists led by a man named Xacalite has taken control of a powerful battleship known as Gloire, with the objective to destroy Earth. Armed with the Silpheed dogfighter, your                 "
The Boggit: Bored Too,1986,"Adventure, Comedy, Fantasy",0,Add a Plot
An Everyday Tale of a Seeker of Gold,1986,"Adventure, Fantasy",0,Add a Plot
M.O.V.I.E.,1986,"Adventure, Crime, Mystery",7.7,"Detective hired to sneak into mob base navigates underworld, twin molls."
Fairlight II,1986,Action,0,Add a Plot
Samantha Fox: Strip Poker,1986,NA,6.9,Add a Plot
Hydlide 2: Shine of Darkness,1986,"Action, Adventure, Fantasy",0,Add a Plot
Moonmist,1986,"Adventure, Fantasy, Mystery",0,Add a Plot
Darius,1986,"Action, Adventure, Sci-Fi",6.6,Experience the conflicts between the Amnelia Kingdom and the merciless Thiima Empire that took place before the battle between the people of Darius and Belsar.
Lunar Explorer,1986,"Action, Sci-Fi",0,"Lunar Explorer is a real-time 3D simulation of flight from lunar orbit to moon landing. Using either keyboard or joystick controls, the player must master the forces of gravity and inertial                "
"Space Quest, Chapter 1: The Sarien Encounter",1986,"Adventure, Comedy, Sci-Fi",7.5,"When sinister aliens board a research vessel and steal the Star Generator, a device capable of turning a planet into a sun, only Roger Wilco, the ship's janitor, may be able to stop them."
The Black Cauldron,1986,"Adventure, Family, Fantasy",7,"A young pig keeper named Taran embarks on a journey to stop the Black Cauldron's evil once and for all, as whoever releases it will become invincible, and the evil horned king will do anything to possess it!"
Zub,1986,"Action, Adventure, Sci-Fi",0,An outer-space platformer of the simplest form.
R.B.I. Baseball,1986,Sport,7.7,"Baseball video game for the NES. R.B.I. is an initialism for ""run batted in""."
Adventure Island,1986,"Action, Adventure",7.2,Master Higgins ventures to Adventure Island in the South Pacific after hearing that the Evil Witch Doctor kidnapped Princess Tina.
Defender of the Crown,1986,"Action, Adventure",7.6,Lead the Saxon nights against the hated Normans.
Cobra,1986,"Action, Adventure",4,Side-scrolling platform shooter video-game of the popular movie.
Howard the Duck: Adventure on Volcano Island,1986,"Adventure, Comedy, Sci-Fi",6.2,Video-game based on the cult comic-book hero duck and set after the events of the Howard the Duck movie. Howard goes to a remote tropical volcano island to find his musician friends who got kidnapped by a madman.
Nythyhel: Files of the Occult,1986,"Adventure, Fantasy, Horror",7.4,"Occultist-based adventure game set in London, rural England and in a French mansion."
The Trap Door,1986,"Adventure, Fantasy, Horror",6.6,Play as Berk as you rush around an old castle preparing food for the thing upstairs and avoiding the ghoulish monsters that escape from the trap door.
Nobunaga's Ambition,1986,Action,5.8,Add a Plot
Scooby-Doo,1986,"Adventure, Mystery",8.1,Scooby must rescue the Mystery Inc. gang on his own in this video game.
The Colour of Magic,1986,Adventure,8,Add a Plot
Victory Road,1986,"Action, Sci-Fi",4.9,"In this sequel to the hugely successful Ikari Warriors you take on more cosmic foes, battling rock-headed beasts, one-eyed green men and other odd creatures."
Theseus,1986,Adventure,0,A text-adventure based on the titular Greek God mythology.
Dan Dare: Pilot of the Future,1986,"Action, Adventure, Fantasy",6.8,"A licensed game based around the cult comic strip character, recreating his daring attempts to defeat Mekon and save the earth."
Alter Ego,1986,"Adventure, Drama",7.2,"RPG that simulates life choices and outcomes. Make choices for your character, who has physical, intellectual and other skills, to see how he or she ends up in life. Bad choices lead to disturbing deaths, smart choices lead to good life."
Galaxibirds,1986,Action,3,Add a Plot
World Games,1986,Sport,8.2,Add a Plot
Mac Pong,1986,Family,7.3,Add a Plot
Thrust,1986,Action,5.9,Add a Plot
HeartQuest,1986,Family,8,Add a Plot
Labyrinth: The Computer Game,1986,"Action, Adventure",5.6,Add a Plot
Math Blaster!,1986,Family,6.6,Add a Plot
James Bond 007: Goldfinger,1986,"Action, Adventure, Mystery",7.2,"James Bond must stop Auric Goldfinger from taking the world's gold supply, stop the destruction of Kentucky, deal with Pussy Galore and fight with Oddjob."
Def Con 5,1986,NA,0,Add a Plot
Madness,1986,NA,0,Add a Plot
Championship Wrestling,1986,Sport,6.5,Add a Plot
Deep Strike,1986,NA,0,Add a Plot
Express Raider,1986,"Action, Western",5.4,Add a Plot
Empire of the Overmind,1986,Sci-Fi,0,Add a Plot
Yie Ar Kung-Fu II,1986,Action,4,Lee Young must rid China of the evil Emperor that plagues his lands by using his martial arts expertise.
King's Knight,1986,"Action, Fantasy",0,Add a Plot
Batman,1986,"Action, Adventure",5.8,"Batman is a 3D isometric action-adventure game by Ocean Software, and the first Batman game developed. Batman's sidekick Robin has been kidnapped by the Joker and the Riddler while he was                 "
Uridium,1986,"Action, Sci-Fi",0,Add a Plot
Super Cycle,1986,NA,0,Add a Plot
Sanxion,1986,Action,0,Add a Plot
Alleykat,1986,Sci-Fi,0,Add a Plot
Hanse,1986,NA,0,Add a Plot
Uninvited,1986,"Fantasy, Horror",6,"Uninvited is a haunted house ""point-and-click"" adventure game developed originally for the Macintosh by ICOM Simulations released in 1986 by Mindscape."
Bactron,1986,Action,0,Add a Plot
Billy la Banlieue,1986,Action,0,Add a Plot
Zoids,1986,"Action, Fantasy",0,"You play as Earthman and you have crash-landed on Zoidstar, a hostile planet. But terrifying war machines live there called Zoids.The Zoid's creators are dead from a deadly meteor shower                 "
Trailblazer,1986,Action,0,Add a Plot
Conflict in Vietnam,1986,War,0,Turn-based strategy game set in different phases of the Vietnam War from the 1950s until the 1970s.
Gegege no Kitarô: Yôkai daimakyô,1986,NA,5.8,Add a Plot
Takeshi's Challenge,1986,"Action, Adventure, Comedy",7.2,"Obtuse action adventure based on story ideas and concepts by actor Takesji Kitano whose name is in the title. Your life is in a stupor, so you withdraw your money from the bank, divorce your wife and quit your job to go treasure hunting."
Gettysburg: The Turning Point,1986,"History, War",0,Turn-based strategy simulation game of the battle of Gettysburg in 1863 that was critical for the outcome of the American Civil War.
Hokuto no Ken: Violence Gekiga Adventure,1986,Action,0,Add a Plot
Noboronka,1986,Adventure,0,Add a Plot
Valis: The Fantasm Soldier,1986,Adventure,6.6,Add a Plot
Parallax,1986,Sci-Fi,0,Add a Plot
Dandy,1986,NA,0,Add a Plot
World Grand Prix,1986,Sport,5.4,Add a Plot
Habitat,1986,NA,0,Add a Plot
Kidou senshi z-Gundam: Hot scrambl,1986,Action,0,Add a Plot
V,1986,Sci-Fi,0,Add a Plot
Star Trek: The Promethean Prophecy,1986,NA,5.8,"Damaged by a Romulan attack, the U. S. S. Enterprise is stranded, without food, in orbit of a mysterious planet."
Argus,1986,"Action, Sci-Fi",5,Add a Plot
720°,1986,Sport,4.4,Add a Plot
119,1986,Action,0,Add a Plot
19th Hole,1986,Sport,0,Add a Plot
Action Fighter,1986,Action,6.1,Add a Plot
Darwin 4078,1986,"Action, Sci-Fi",0,Add a Plot
Vampire Killer,1986,"Action, Adventure, Fantasy",6.3,"Every one hundred years evil men try to resurrect Count Dracula. And this time it's up to Simon Belmont, the descendant of Christopher Belmont to stop the Count with the legendary whip ""Vampire Killer""."
Yume tairiku adobenchâ,1986,Adventure,0,Add a Plot
Casablanca ni Ai o: Satsujinsha wa Jikû o Koete,1986,"Mystery, Sci-Fi",0,"The year is 1945. Jerry Randolph, a female reporter working for the Chicago newspaper ""Daily Casablanca"", finds a diary belonging to her high school friend May Elgar, who has disappeared                 "
Gunship,1986,"Action, War",6.8,Add a Plot
Black Box,1986,NA,0,Add a Plot
Social Climber,1986,NA,0,Add a Plot
The New Daleks,1986,NA,0,Add a Plot
Arcticfox,1986,"Action, Sci-Fi",0,"In 2005, aliens have taken over Antarctica. You are sent in to combat them with the new super tank, the Slye-Hicks MX-100, Codename: Arcticfox."
Seikima II: Akuma no gyakushuu,1986,NA,0,Add a Plot
The Adventures of Snake,1986,NA,0,Add a Plot
Super Sprint,1986,Sport,6.1,Add a Plot
I Am a Teacher: Super Mario's Sweater,1986,NA,0,Add a Plot
Don Den Mahjong,1986,NA,0,Add a Plot
Drews Revenge,1986,NA,0,Add a Plot
DRHL Poker,1986,NA,0,Add a Plot
Empire City: 1931,1986,"Action, Crime",0,Add a Plot
Enduro Racer,1986,Sport,6.1,Add a Plot
Extra Card,1986,NA,0,Add a Plot
S.R.D. Mission,1986,"Action, Sci-Fi",0,Add a Plot
Fire Trap,1986,Action,0,Add a Plot
Fish Wish,1986,NA,0,Add a Plot
Flower,1986,"Action, Sci-Fi",0,Add a Plot
Gardia,1986,"Action, Sci-Fi",0,Add a Plot
Genpei Tôma Den,1986,"Action, Adventure, Fantasy",5.9,Add a Plot
Guardian,1986,"Action, Sci-Fi",5.2,Add a Plot
Gigas,1986,Sci-Fi,0,Add a Plot
Gigas Mark II,1986,Sci-Fi,0,Add a Plot
Gioca Quiz,1986,NA,0,Add a Plot
Gladiator,1986,"Action, Fantasy",6,Add a Plot
Halley's Comet,1986,"Action, Sci-Fi",0,Add a Plot
Hana Puter,1986,NA,0,Add a Plot
Hana Royal,1986,NA,0,Add a Plot
Rack + Roll,1986,Sport,0,Add a Plot
Hockey and Drums Below,1986,Sport,0,Add a Plot
Hopping Mappy,1986,Family,0,Add a Plot
Inspiration Baseball,1986,Sport,0,Add a Plot
Ippatsu Gyakuten,1986,NA,0,Add a Plot
Milon's Secret Castle,1986,Adventure,2.7,Add a Plot
Iron Horse,1986,"Action, Western",0,Add a Plot
Jan-Shin,1986,NA,0,Add a Plot
Kick and Run,1986,Sport,5.7,Add a Plot
KiKi KaiKai,1986,"Action, Adventure, Fantasy",6.8,"Join Sayo the shrine maiden on her adventure to save the Seven Gods of Fortune, Using charms and her purification wand, Sayo takes on the spirits."
Rock'n Rage,1986,"Action, Adventure, Fantasy",6.1,"Monster Kizz, the evil alien metal lord, has kidnapped Sheena, vocalist of the Hot Rock Love band. It's now up to fellow band members John and Rick to travel across different eras in history and rescue her in time to wrap up their gig."
Kyros,1986,"Action, Fantasy",0,Add a Plot
Land Sea Air Squad,1986,Action,0,Add a Plot
Last Mission,1986,"Action, Sci-Fi",0,Add a Plot
Legend,1986,"Adventure, Fantasy",0,Add a Plot
Saramanda,1986,"Action, Sci-Fi",7.9,"Spin-off of Gradius (1985), introducing a simplified power-up system, and two-player co-op gameplay. The first player controls Vic Viper and the second player takes the reins of debuting spacecraft Lord British."
Lock-On: Tatsumi Air Force,1986,Action,0,Add a Plot
Lode Runner: Teikoku Kara no Dasshutsu,1986,"Action, Sci-Fi",0,Add a Plot
Mad Adder,1986,NA,0,Add a Plot
Mahjong Kyoujidai: Exciting Mahjong,1986,NA,0,Add a Plot
Mahjong Sisters,1986,NA,0,Add a Plot
Mahjong Senka,1986,NA,0,Add a Plot
Mahjong Shiyou,1986,NA,0,Add a Plot
Mahjong Yarou,1986,NA,0,Add a Plot
Match'em Up,1986,NA,0,Add a Plot
Max RPM,1986,Sport,0,Add a Plot
Meijinsen,1986,NA,0,Add a Plot
Merlin's Money Maze,1986,Family,0,Add a Plot
Mighty Guy,1986,"Action, Sci-Fi",0,Add a Plot
Mission 660,1986,"Action, Sci-Fi",0,Add a Plot
Mr. Goemon,1986,Action,0,Add a Plot
Momoko 120%,1986,"Action, Sci-Fi",7.2,Control Momoko as she ascends several floors to escape a fire that is trying to reach her.
MTV Rock-N-Roll Trivia,1986,Music,0,Add a Plot
Night Love,1986,NA,0,Add a Plot
Name That Tune,1986,Music,0,Add a Plot
Netminder,1986,Sport,0,Add a Plot
Night Stocker,1986,"Action, Sci-Fi",0,Add a Plot
Ninja Emaki,1986,"Action, Adventure, Fantasy",0,Add a Plot
Ninja Web,1986,NA,0,Add a Plot
Zippy Bug,1986,"Action, Family",0,Add a Plot
Ojanko Club,1986,NA,0,Add a Plot
Ojanko Yakata: Shobatsuki Mahjong sen,1986,NA,0,Add a Plot
Panic Road,1986,Family,0,Add a Plot
Phraze Craze,1986,NA,0,Add a Plot
Power Drive,1986,Sport,0,Add a Plot
Prebillian,1986,"Sci-Fi, Sport",0,Add a Plot
Quartet,1986,"Action, Sci-Fi",6.1,Add a Plot
Quiz,1986,NA,0,Add a Plot
Rafflesia,1986,"Action, Sci-Fi",0,Add a Plot
Real Mahjong Haihai Jinjiidou-hen,1986,NA,0,Add a Plot
Real Mahjong Haihai Seichouhen,1986,NA,0,Add a Plot
Red Robin,1986,Family,0,Add a Plot
Reel Fun,1986,NA,0,Add a Plot
Robo Wres 2001,1986,"Sci-Fi, Sport",0,Add a Plot
Rock-N-Roll Trivia Part 2,1986,Music,0,Add a Plot
The Speed Rumbler,1986,"Action, Sci-Fi",6.2,Add a Plot
Tokio,1986,Action,5.7,Add a Plot
Second Love,1986,NA,0,Add a Plot
Soldier Girl Amazon,1986,"Action, Adventure, Fantasy",0,Add a Plot
Senryaku Game Bopeep,1986,Family,0,Add a Plot
Shrike Avenger,1986,"Action, Sci-Fi",0,Add a Plot
Side Arms: Hyper Dyne,1986,"Action, Sci-Fi",6.1,Add a Plot
SkyKid Deluxe,1986,"Action, War",0,Add a Plot
Slap Shooter,1986,Sport,0,Add a Plot
Soldier of Light,1986,"Action, Sci-Fi",7.3,Add a Plot
Space Position,1986,Sport,0,Add a Plot
Spectra,1986,Sport,0,Add a Plot
Spelunker II: 23 no Kagi,1986,"Adventure, Fantasy",0,Add a Plot
Spiker,1986,Sport,0,Add a Plot
Stompin',1986,Family,0,Add a Plot
Street Football,1986,Sport,0,Add a Plot
Super Cross II,1986,Sport,0,Add a Plot
Super Stingray,1986,Action,0,Add a Plot
Super Triv II,1986,NA,0,Add a Plot
Sure Shot Pool,1986,Sport,0,Add a Plot
Super Trivia Master,1986,NA,0,Add a Plot
Tee'd Off,1986,Sport,0,Add a Plot
The Goonies,1986,"Action, Adventure, Family",7.8,Add a Plot
The Return of Ishtar,1986,"Action, Adventure, Fantasy",0,Add a Plot
The Yakyuuken Part 1,1986,NA,0,Add a Plot
Thunder Ceptor,1986,"Action, Sci-Fi",0,Add a Plot
Top Secret,1986,Action,0,You are the pilot of a spy car on a Top Secret mission deep inside Soviet Russia. Your objective is to find and destroy an newly developed ultimate weapon before it can be deployed. Your                 
Toypop,1986,"Action, Family",7,Add a Plot
Turbo Kourier,1986,"Action, Sci-Fi",0,Add a Plot
Turbo Sub,1986,"Action, Sci-Fi",0,Add a Plot
Video Quiz,1986,NA,0,Add a Plot
Gumshoe,1986,"Action, Adventure, Crime",5.5,"Help an ex-FBI agent turned detective named Mr. Stevenson collect five ""Black Panther"" Diamonds within 24 hours, so he can rescue his daughter, Jennifer, who has been kidnapped from the                 "
Up Scope,1986,Action,0,Add a Plot
Valtric,1986,"Action, Sci-Fi",0,Add a Plot
007: In the Service of His Majesty,1986,"Action, Adventure, Thriller",0,Add a Plot
Super SkyKid,1986,"Action, War",0,Add a Plot
Super Xevious: Ganpu no Nazo,1986,"Action, Sci-Fi",5.6,Add a Plot
War Ball,1986,"Sci-Fi, Sport",0,Add a Plot
Watashi wa Suzume-chan,1986,NA,0,Add a Plot
WEC Le Mans 24,1986,Sport,6.4,Add a Plot
Wonder Boy,1986,"Action, Adventure, Family",7.1,The tropical wonder boy himself Tom Tom must save his girlfriend Tina from demons and monsters.
XX Mission,1986,"Action, Sci-Fi",0,Add a Plot
Youjyuuden,1986,"Action, Adventure, Fantasy",0,Add a Plot
Slap Shooter,1986,Sport,0,Add a Plot
The Bard's Tale II: The Destiny Knight,1986,"Adventure, Fantasy",5.7,Add a Plot
Ninja,1986,Action,6,Add a Plot
The Wing of Madoola,1986,"Action, Adventure, Fantasy",0,Add a Plot
Street Hawk,1986,Action,0,Add a Plot
Leader Board,1986,Sport,5.6,Add a Plot
Snail Maze,1986,Adventure,0,"A game hidden in the BIOS of the Sega Master System, you play a snail that has to find its way through a maze to a goal within a specified time limit."
Shanghai,1986,Family,0,Add a Plot
Astro Warrior,1986,"Action, Sci-Fi",5.1,Add a Plot
Canakkale Impossible,1986,Action,0,The game is a simple 8 bit action game designed to represent the struggle of the Nusret minelayer in Canakkale.
Ravenskull,1986,"Adventure, Fantasy",0,"The player chooses one of four character types: an adventurer, wizard, warrior or elf. They then explore the four levels of a castle, searching for the four pieces of a crucifix. The                 "
Warukyûre no Bôken: Toki no Kagi Densetsu,1986,"Action, Adventure, Fantasy",4.6,Add a Plot
Jail Break,1986,"Action, Crime",5.8,Add a Plot
Major League,1986,Sport,0,Oh m you j in open for our
Tower of Babel,1986,"Adventure, Family, Fantasy",0,Add a Plot
Dark Castle,1986,"Action, Adventure, Family",2.7,Add a Plot
Tehkan World Cup,1986,Sport,6.5,Add a Plot
Alex Kidd in Miracle World,1986,"Adventure, Family, Fantasy",7.4,"On his way home from training, a young martial artist named Alex Kidd learns of a villain who has taken over his homeland and kidnapped his family, so he sets out on a quest to rescue them."
Alcon,1986,"Action, Sci-Fi",5.6,Add a Plot
Alex Kidd: The Lost Stars,1986,"Adventure, Family, Fantasy",4.7,Add a Plot
Alley Master,1986,Sport,0,Add a Plot
Apparel Night,1986,NA,0,Add a Plot
Rygar: Legend Warrior,1986,"Action, Adventure, Fantasy",6.7,Add a Plot
Baby Boom Challenge,1986,NA,0,Add a Plot
Baluba-Louk no Densetsu,1986,Family,0,Add a Plot
Battle Lane! Vol. 5,1986,Action,0,Add a Plot
Legendary Wings,1986,"Action, Fantasy, Sci-Fi",5.9,Add a Plot
Big Apple Games,1986,NA,0,Add a Plot
Big Bucks,1986,NA,0,Add a Plot
Big Deal,1986,NA,0,Add a Plot
Big Event Golf,1986,Sport,0,Add a Plot
Brain,1986,"Action, Sci-Fi",0,Add a Plot
Shackled,1986,"Action, Fantasy",0,Add a Plot
Calorie Kun vs Moguranian,1986,Family,0,Add a Plot
Cash Quiz,1986,NA,0,Add a Plot
Championship Sprint,1986,Sport,7.1,Add a Plot
Chiller,1986,"Action, Horror",5.5,"Alone at the top of a barren hill stands a once-impressive mansion, now fallen into darkness and decay. Armed only with your rifle and an Ectoplasmic Tabulator, you venture inside. The horrors within are too gruesome to describe."
City Love,1986,NA,0,Add a Plot
Cycle Shooting,1986,"Action, Sci-Fi",0,Add a Plot
Body Slam,1986,Sport,0,Add a Plot
Clash-Road,1986,Sport,0,Add a Plot
Clay Pigeon,1986,Sport,0,Add a Plot
Crystal Gal Mahjong,1986,NA,0,Add a Plot
Crystal Gal Mahjong II,1986,NA,0,Add a Plot
DLT's Radio1 Quiz Give Us a Break,1986,NA,0,Add a Plot
Daikaiju no Gyakushu,1986,"Action, Sci-Fi",0,Add a Plot
Dangar: UFO Robot,1986,"Action, Sci-Fi",0,Add a Plot
Danger Zone,1986,Action,0,Add a Plot
Miami Vice,1986,"Action, Adventure, Crime",0,"Crockett and Tubbs are trying to smash a drugs ring bossed by Mr. J. You have to start at the bottom, initially busting the casual dealers before reaching their suppliers, and ultimately the casino-dwelling honchos."
Arena,1986,Sport,0,"a sports game published very early in the lifetime of the 16-bit computers Atari ST and Amiga. It features six disciplines, including Long Jump, High Jump, Javelin, Shot Put, Pole Vault and                "
Protector,1986,"Action, Sci-Fi",0,"Protector takes the idea from Defender (1981): the player is controlling a ship over a horizontally scrolling landscape, able to fly to the left and right with different speed. Some                 "
Quizam!,1986,Sci-Fi,0,"Eight mysterious dark satellites orbiting the Earth must be destroyed. Their on-board computers have malfunctioned, generating an enormous volume of questions that are strange, cryptic-                 "
Trivia Trove,1986,Family,0,A quiz game that consists of four parts that has to be completed in order.
Mind Walker,1986,Sci-Fi,0,"A mentally disturbed professor must enter his own brain to repair it, changing into different forms to overcome the obstacles and puzzles."
Rantou puroresu,1986,NA,0,Add a Plot
Triclops Invasion,1986,"Action, Sci-Fi",0,The solar system has bee invaded by the Triclops who parachute their giant walkers down to Earth. The only way to destroy a walker is to shoot off one of its three legs but as it has a                 
Silicon Dreams,1986,"Adventure, Sci-Fi",0,"This interactive fiction game is a trilogy of the Level 9's adventures Snowball, Return to Eden, and Worm in Paradise."
Delta Patrol,1986,"Action, Sci-Fi",0,The player takes control of the last surviving member of the titular Delta Patrol who has to do all he can to combat the various kinds of aliens that appear from the sky.
Gridiron!,1986,Sport,0,"A football game. It allows you to choose your team, players, strategy, and to try to apply it as successfully as possible."
Games,1986,NA,0,Add a Plot
War Zone,1986,"Action, Sci-Fi",0,"A 2D top-down shooter game set in a distant, post-apocalyptic future. The player is a warrior who must find a crazy warmonger and deactivate a nuclear bomb."
Up Periscope,1986,"Action, History",0,Add a Plot
The Transformers,1986,Sci-Fi,5.5,Add a Plot
Tatakae! Cho Robotto Seimeitai Toransufoma: Konboi no Nazo,1986,"Action, Sci-Fi",4.5,Help guide Ultra Magnus on his mission to find the whereabouts of the the missing Optimus Prime.
Black Belt,1986,Action,6.6,"Black Belt is a side-scrolling single-plane beat 'em up game released for the Master System in 1986. It is a localization of the Japanese Mark III game, Hokuto no Ken, based on the manga                 "
Super Tennis,1986,Sport,5.6,Add a Plot
Zoony,1986,NA,0,Add a Plot
